Date,Close
12/1/2011,8597.38
12/2/2011,8643.75
12/5/2011,8695.98
12/6/2011,8575.16
12/7/2011,8722.17
12/8/2011,8664.58
12/9/2011,8536.46
12/12/2011,8653.82
12/13/2011,8552.81
12/14/2011,8519.13
12/15/2011,8377.37
12/16/2011,8401.72
12/19/2011,8296.12
12/20/2011,8336.48
12/21/2011,8459.98
12/22/2011,8395.16
12/26/2011,8479.34
12/27/2011,8440.56
12/28/2011,8423.62
12/29/2011,8398.89
12/30/2011,8455.35
1/4/2012,8560.11
1/5/2012,8488.71
1/6/2012,8390.35
1/10/2012,8422.26
1/11/2012,8447.88
1/12/2012,8385.59
1/13/2012,8500.02
1/16/2012,8378.36
1/17/2012,8466.40
1/18/2012,8550.58
1/19/2012,8639.68
1/20/2012,8766.36
1/23/2012,8765.90
1/24/2012,8785.33
1/25/2012,8883.69
1/26/2012,8849.47
1/27/2012,8841.22
1/30/2012,8793.05
1/31/2012,8802.51
2/1/2012,8809.79
2/2/2012,8876.82
2/3/2012,8831.93
2/6/2012,8929.20
2/7/2012,8917.52
2/8/2012,9015.59
2/9/2012,9002.24
2/10/2012,8947.17
2/13/2012,8999.18
2/14/2012,9052.07
2/15/2012,9260.34
2/16/2012,9238.10
2/17/2012,9384.17
2/20/2012,9485.09
2/21/2012,9463.02
2/22/2012,9554.00
2/23/2012,9595.57
2/24/2012,9647.38
2/27/2012,9633.93
2/28/2012,9722.52
2/29/2012,9723.24
3/1/2012,9707.37
3/2/2012,9777.03
3/5/2012,9698.59
3/6/2012,9637.63
3/7/2012,9576.06
3/8/2012,9768.96
3/9/2012,9929.74
3/12/2012,9889.86
3/13/2012,9899.08
3/14/2012,10050.52
3/15/2012,10123.28
3/16/2012,10129.83
3/19/2012,10141.99
3/21/2012,10086.49
3/22/2012,10127.08
3/23/2012,10011.47
3/26/2012,10018.24
3/27/2012,10255.15
3/28/2012,10182.57
3/29/2012,10114.79
3/30/2012,10083.56
4/2/2012,10109.87
4/3/2012,10050.39
4/4/2012,9819.99
4/5/2012,9767.61
4/6/2012,9688.45
4/9/2012,9546.26
